"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2008","Euro area (12 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,594,916.4",""
"2008","Belgium","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.6",""
"2008","Belgium","Current prices, million euro","Gross domestic product at market prices","354,065.9",""
"2008","Belgium","Chain linked volumes (2010), million euro","Gross domestic product at market prices","363,540.1",""
"2008","Bulgaria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.4",""
"2008","Bulgaria","Current prices, million euro","Gross domestic product at market prices","37,200.1",""
"2008","Bulgaria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","39,134.3",""
"2008","Czechia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.7",""
"2008","Czechia","Current prices, million euro","Gross domestic product at market prices","161,313.1",""
"2008","Czechia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","160,965.0",""
"2008","Denmark","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.2",""
"2008","Denmark","Current prices, million euro","Gross domestic product at market prices","241,613.5",""
"2008","Denmark","Chain linked volumes (2010), million euro","Gross domestic product at market prices","251,015.5",""
"2008","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.8",""
"2008","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross domestic product at market prices","2,561,740.0",""
"2008","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2,626,501.1",""
"2008","Estonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","114.7",""
"2008","Estonia","Current prices, million euro","Gross domestic product at market prices","16,517.3",""
"2008","Estonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","16,876.4",""
"2008","Ireland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.3",""
"2008","Ireland","Current prices, million euro","Gross domestic product at market prices","187,769.1",""
"2008","Ireland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","173,259.8",""
"2008","Greece","Chain linked volumes, index 2010=100","Gross domestic product at market prices","110.6",""
"2008","Greece","Current prices, million euro","Gross domestic product at market prices","241,990.4",""
"2008","Greece","Chain linked volumes (2010), million euro","Gross domestic product at market prices","249,880.4",""
"2008","Spain","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.7",""
"2008","Spain","Current prices, million euro","Gross domestic product at market prices","1,116,225.0",""
"2008","Spain","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,120,839.0",""
"2008","France","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.0",""
"2008","France","Current prices, million euro","Gross domestic product at market prices","1,992,380.0",""
"2008","France","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2,015,034.1",""
"2008","Croatia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","109.5",""
"2008","Croatia","Current prices, million euro","Gross domestic product at market prices","48,138.8",""
"2008","Croatia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","49,435.1",""
"2008","Italy","Chain linked volumes, index 2010=100","Gross domestic product at market prices","104.0",""
"2008","Italy","Current prices, million euro","Gross domestic product at market prices","1,632,150.8",""
"2008","Italy","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,669,421.4",""
"2008","Cyprus","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.7",""
"2008","Cyprus","Current prices, million euro","Gross domestic product at market prices","19,006.2",""
"2008","Cyprus","Chain linked volumes (2010), million euro","Gross domestic product at market prices","19,436.9",""
"2008","Latvia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","121.6",""
"2008","Latvia","Current prices, million euro","Gross domestic product at market prices","24,354.8",""
"2008","Latvia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","21,634.1",""
"2008","Lithuania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","115.5",""
"2008","Lithuania","Current prices, million euro","Gross domestic product at market prices","32,696.3",""
"2008","Lithuania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","32,371.0",""
"2008","Luxembourg","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.7",""
"2008","Luxembourg","Current prices, million euro","Gross domestic product at market prices","38,128.6",""
"2008","Luxembourg","Chain linked volumes (2010), million euro","Gross domestic product at market prices","40,059.9",""
"2008","Hungary","Chain linked volumes, index 2010=100","Gross domestic product at market prices","106.4",""
"2008","Hungary","Current prices, million euro","Gross domestic product at market prices","108,121.5",""
"2008","Hungary","Chain linked volumes (2010), million euro","Gross domestic product at market prices","105,121.7",""
"2008","Malta","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.0",""
"2008","Malta","Current prices, million euro","Gross domestic product at market prices","6,128.7",""
"2008","Malta","Chain linked volumes (2010), million euro","Gross domestic product at market prices","6,534.6",""
"2008","Netherlands","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.4",""
"2008","Netherlands","Current prices, million euro","Gross domestic product at market prices","647,198.0",""
"2008","Netherlands","Chain linked volumes (2010), million euro","Gross domestic product at market prices","654,726.1",""
"2008","Austria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.0",""
"2008","Austria","Current prices, million euro","Gross domestic product at market prices","293,761.9",""
"2008","Austria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","301,925.0",""
"2008","Poland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","93.9",""
"2008","Poland","Current prices, million euro","Gross domestic product at market prices","366,182.3",""
"2008","Poland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","339,629.8",""
"2008","Portugal","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.1",""
"2008","Portugal","Current prices, million euro","Gross domestic product at market prices","178,872.6",""
"2008","Portugal","Chain linked volumes (2010), million euro","Gross domestic product at market prices","181,997.2",""
"2008","Romania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","109.4",""
"2008","Romania","Current prices, million euro","Gross domestic product at market prices","146,106.0",""
"2008","Romania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","137,142.4",""
"2008","Slovenia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","107.1",""
"2008","Slovenia","Current prices, million euro","Gross domestic product at market prices","37,951.2",""
"2008","Slovenia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","38,837.5",""
"2008","Slovakia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.7",""
"2008","Slovakia","Current prices, million euro","Gross domestic product at market prices","66,002.8",""
"2008","Slovakia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","68,022.3",""
"2008","Finland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","105.8",""
"2008","Finland","Current prices, million euro","Gross domestic product at market prices","193,711.0",""
"2008","Finland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","198,040.0",""
"2008","Sweden","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.5",""
"2008","Sweden","Current prices, million euro","Gross domestic product at market prices","352,741.6",""
"2008","Sweden","Chain linked volumes (2010), million euro","Gross domestic product at market prices","367,695.8",""
"2008","United Kingdom","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.7",""
"2008","United Kingdom","Current prices, million euro","Gross domestic product at market prices","1,983,970.5",""
"2008","United Kingdom","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,900,094.3",""
"2008","Iceland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","111.1",""
"2008","Iceland","Current prices, million euro","Gross domestic product at market prices","10,948.5",""
"2008","Iceland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,478.0",""
"2008","Liechtenstein","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"2008","Liechtenstein","Current prices, million euro","Gross domestic product at market prices",":",""
"2008","Liechtenstein","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"2008","Norway","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.0",""
"2008","Norway","Current prices, million euro","Gross domestic product at market prices","317,230.3",""
"2008","Norway","Chain linked volumes (2010), million euro","Gross domestic product at market prices","327,352.8",""
"2008","Switzerland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.3",""
"2008","Switzerland","Current prices, million euro","Gross domestic product at market prices","378,248.1",""
"2008","Switzerland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","437,959.2",""
"2008","Montenegro","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.3",""
"2008","Montenegro","Current prices, million euro","Gross domestic product at market prices","3,103.3",""
"2008","Montenegro","Chain linked volumes (2010), million euro","Gross domestic product at market prices","3,229.0",""
"2008","Former Yugoslav Republic of Macedonia, the","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.1",""
"2008","Former Yugoslav Republic of Macedonia, the","Current prices, million euro","Gross domestic product at market prices","6,772.1",""
"2008","Former Yugoslav Republic of Macedonia, the","Chain linked volumes (2010), million euro","Gross domestic product at market prices","6,902.0",""
"2008","Albania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","93.3",""
"2008","Albania","Current prices, million euro","Gross domestic product at market prices","8,800.3",""
"2008","Albania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,393.5",""
"2008","Serbia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.1",""
"2008","Serbia","Current prices, million euro","Gross domestic product at market prices","35,712.5",""
"2008","Serbia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","32,196.4",""
"2008","Turkey","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.7",""
"2008","Turkey","Current prices, million euro","Gross domestic product at market prices","521,812.2",""
"2008","Turkey","Chain linked volumes (2010), million euro","Gross domestic product at market prices","562,007.6",""
"2008","Bosnia and Herzegovina","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.2",""
"2008","Bosnia and Herzegovina","Current prices, million euro","Gross domestic product at market prices","13,047.8",""
"2008","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13,254.8",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","93.4",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Gross domestic product at market prices","3,882.8",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","4,113.0",""
"2009","European Union (current composition)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.0",""
"2009","European Union (current composition)","Current prices, million euro","Gross domestic product at market prices","12,329,520.4",""
"2009","European Union (current composition)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,579,096.0",""
"2009","European Union (without United Kingdom)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.9",""
"2009","European Union (without United Kingdom)","Current prices, million euro","Gross domestic product at market prices","10,604,137.1",""
"2009","European Union (without United Kingdom)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,759,943.5",""
"2009","European Union (15 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.9",""
"2009","European Union (15 countries)","Current prices, million euro","Gross domestic product at market prices","11,378,057.5",""
"2009","European Union (15 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,579,563.4",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.0",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross domestic product at market prices","9,236,389.3",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,297,393.7",""
"2009","Euro area (19 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.0",""
"2009","Euro area (19 countries)","Current prices, million euro","Gross domestic product at market prices","9,296,219.3",""
"2009","Euro area (19 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,357,898.2",""
"2009","Euro area (12 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.0",""
"2009","Euro area (12 countries)","Current prices, million euro","Gross domestic product at market prices","9,111,387.9",""
"2009","Euro area (12 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,171,829.3",""
"2009","Belgium","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.3",""
"2009","Belgium","Current prices, million euro","Gross domestic product at market prices","348,781.1",""
"2009","Belgium","Chain linked volumes (2010), million euro","Gross domestic product at market prices","355,348.9",""
"2009","Bulgaria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.7",""
"2009","Bulgaria","Current prices, million euro","Gross domestic product at market prices","37,317.7",""
"2009","Bulgaria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","37,731.0",""
"2009","Czechia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.8",""
"2009","Czechia","Current prices, million euro","Gross domestic product at market prices","148,682.0",""
"2009","Czechia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","153,234.6",""
"2009","Denmark","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.2",""
"2009","Denmark","Current prices, million euro","Gross domestic product at market prices","231,278.1",""
"2009","Denmark","Chain linked volumes (2010), million euro","Gross domestic product at market prices","238,699.4",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.1",""
"2009","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross domestic product at market prices","2,460,280.0",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2,478,921.7",""
"2009","Estonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.8",""
"2009","Estonia","Current prices, million euro","Gross domestic product at market prices","14,145.9",""
"2009","Estonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","14,391.4",""
"2009","Ireland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.1",""
"2009","Ireland","Current prices, million euro","Gross domestic product at market prices","170,100.5",""
"2009","Ireland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","164,558.3",""
"2009","Greece","Chain linked volumes, index 2010=100","Gross domestic product at market prices","105.8",""
"2009","Greece","Current prices, million euro","Gross domestic product at market prices","237,534.2",""
"2009","Greece","Chain linked volumes (2010), million euro","Gross domestic product at market prices","239,133.7",""
"2009","Spain","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0",""
"2009","Spain","Current prices, million euro","Gross domestic product at market prices","1,079,052.0",""
"2009","Spain","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,080,783.0",""
"2009","France","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.1",""
"2009","France","Current prices, million euro","Gross domestic product at market prices","1,936,422.0",""
"2009","France","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,957,135.9",""
"2009","Croatia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.5",""
"2009","Croatia","Current prices, million euro","Gross domestic product at market prices","45,145.4",""
"2009","Croatia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","45,830.6",""
"2009","Italy","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.3",""
"2009","Italy","Current prices, million euro","Gross domestic product at market prices","1,572,878.3",""
"2009","Italy","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,577,902.8",""
"2009","Cyprus","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.7",""
"2009","Cyprus","Current prices, million euro","Gross domestic product at market prices","18,673.5",""
"2009","Cyprus","Chain linked volumes (2010), million euro","Gross domestic product at market prices","19,045.2",""
"2009","Latvia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","104.1",""
"2009","Latvia","Current prices, million euro","Gross domestic product at market prices","18,749.3",""
"2009","Latvia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","18,518.4",""
"2009","Lithuania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.4",""
"2009","Lithuania","Current prices, million euro","Gross domestic product at market prices","26,934.8",""
"2009","Lithuania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","27,575.5",""
"2009","Luxembourg","Chain linked volumes, index 2010=100","Gross domestic product at market prices","95.4",""
"2009","Luxembourg","Current prices, million euro","Gross domestic product at market prices","36,976.5",""
"2009","Luxembourg","Chain linked volumes (2010), million euro","Gross domestic product at market prices","38,313.9",""
"2009","Hungary","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.3",""
"2009","Hungary","Current prices, million euro","Gross domestic product at market prices","94,262.5",""
"2009","Hungary","Chain linked volumes (2010), million euro","Gross domestic product at market prices","98,182.7",""
"2009","Malta","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.6",""
"2009","Malta","Current prices, million euro","Gross domestic product at market prices","6,138.6",""
"2009","Malta","Chain linked volumes (2010), million euro","Gross domestic product at market prices","6,373.7",""
"2009","Netherlands","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.7",""
"2009","Netherlands","Current prices, million euro","Gross domestic product at market prices","624,842.0",""
"2009","Netherlands","Chain linked volumes (2010), million euro","Gross domestic product at market prices","630,718.1",""
"2009","Austria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.2",""
"2009","Austria","Current prices, million euro","Gross domestic product at market prices","288,044.0",""
"2009","Austria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","290,558.8",""
"2009","Poland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.5",""
"2009","Poland","Current prices, million euro","Gross domestic product at market prices","317,082.9",""
"2009","Poland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","349,208.2",""
"2009","Portugal","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.1",""
"2009","Portugal","Current prices, million euro","Gross domestic product at market prices","175,448.2",""
"2009","Portugal","Chain linked volumes (2010), million euro","Gross domestic product at market prices","176,577.2",""
"2009","Romania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.9",""
"2009","Romania","Current prices, million euro","Gross domestic product at market prices","124,141.0",""
"2009","Romania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","129,036.8",""
"2009","Slovenia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.8",""
"2009","Slovenia","Current prices, million euro","Gross domestic product at market prices","36,166.2",""
"2009","Slovenia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","35,809.2",""
"2009","Slovakia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","95.2",""
"2009","Slovakia","Current prices, million euro","Gross domestic product at market prices","64,023.1",""
"2009","Slovakia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","64,333.8",""
"2009","Finland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.1",""
"2009","Finland","Current prices, million euro","Gross domestic product at market prices","181,029.0",""
"2009","Finland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","181,664.0",""
"2009","Sweden","Chain linked volumes, index 2010=100","Gross domestic product at market prices","94.3",""
"2009","Sweden","Current prices, million euro","Gross domestic product at market prices","310,008.3",""
"2009","Sweden","Chain linked volumes (2010), million euro","Gross domestic product at market prices","348,590.7",""
"2009","United Kingdom","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.3",""
"2009","United Kingdom","Current prices, million euro","Gross domestic product at market prices","1,725,383.3",""
"2009","United Kingdom","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,819,404.8",""
"2009","Iceland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.6",""
"2009","Iceland","Current prices, million euro","Gross domestic product at market prices","9,426.4",""
"2009","Iceland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,700.1",""
"2009","Liechtenstein","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"2009","Liechtenstein","Current prices, million euro","Gross domestic product at market prices",":",""
"2009","Liechtenstein","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"2009","Norway","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.3",""
"2009","Norway","Current prices, million euro","Gross domestic product at market prices","278,557.9",""
"2009","Norway","Chain linked volumes (2010), million euro","Gross domestic product at market prices","321,817.3",""
"2009","Switzerland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.1",""
"2009","Switzerland","Current prices, million euro","Gross domestic product at market prices","390,207.4",""
"2009","Switzerland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","428,227.3",""
"2009","Montenegro","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.3",""
"2009","Montenegro","Current prices, million euro","Gross domestic product at market prices","2,993.9",""
"2009","Montenegro","Chain linked volumes (2010), million euro","Gross domestic product at market prices","3,041.9",""
"2009","Former Yugoslav Republic of Macedonia, the","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.8",""
"2009","Former Yugoslav Republic of Macedonia, the","Current prices, million euro","Gross domestic product at market prices","6,766.5",""
"2009","Former Yugoslav Republic of Macedonia, the","Chain linked volumes (2010), million euro","Gross domestic product at market prices","6,877.3",""
"2009","Albania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.4",""
"2009","Albania","Current prices, million euro","Gross domestic product at market prices","8,662.2",""
"2009","Albania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,675.0",""
"2009","Serbia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.3",""
"2009","Serbia","Current prices, million euro","Gross domestic product at market prices","32,486.2",""
"2009","Serbia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","31,316.9",""
"2009","Turkey","Chain linked volumes, index 2010=100","Gross domestic product at market prices","92.2",""
"2009","Turkey","Current prices, million euro","Gross domestic product at market prices","461,925.9",""
"2009","Turkey","Chain linked volumes (2010), million euro","Gross domestic product at market prices","535,568.1",""
"2009","Bosnia and Herzegovina","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.1",""
"2009","Bosnia and Herzegovina","Current prices, million euro","Gross domestic product at market prices","12,679.3",""
"2009","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,856.8",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.8",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Gross domestic product at market prices","4,069.6",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","4,261.0",""
"2010","European Union (current composition)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0",""
"2010","European Union (current composition)","Current prices, million euro","Gross domestic product at market prices","12,841,529.7",""
"2010","European Union (current composition)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,841,529.7",""
"2010","European Union (without United Kingdom)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0",""
"2010","European Union (without United Kingdom)","Current prices, million euro","Gross domestic product at market prices","10,990,991.1",""
"2010","European Union (without United Kingdom)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,990,991.1",""
"2010","European Union (15 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0",""
"2010","European Union (15 countries)","Current prices, million euro","Gross domestic product at market prices","11,825,125.1",""
"2010","European Union (15 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,825,125.1",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross domestic product at market prices","9,491,671.6",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,491,671.6",""
"2010","Euro area (19 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0",""
"2010","Euro area (19 countries)","Current prices, million euro","Gross domestic product at market prices","9,552,204.5",""
"2010","Euro area (19 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,552,204.5",""
"2010","Euro area (12 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0",""
"2010","Euro area (12 countries)","Current prices, million euro","Gross domestic product at market prices","9,361,942.9",""
"2010","Euro area (12 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,361,942.9",""
"2010","Belgium","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0",""
"2010","Belgium","Current prices, million euro","Gross domestic product at market prices","365,100.5",""
"2010","Belgium","Chain linked volumes (2010), million euro","Gross domestic product at market prices","365,100.5",""
"2010","Bulgaria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0",""
"2010","Bulgaria","Current prices, million euro","Gross domestic product at market prices","38,230.5",""
"2010","Bulgaria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","38,230.5",""
"2010","Czechia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0",""
"2010","Czechia","Current prices, million euro","Gross domestic product at market prices","156,718.2",""
"2010","Czechia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","156,718.2",""
"2010","Denmark","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0",""
"2010","Denmark","Current prices, million euro","Gross domestic product at market prices","243,165.4",""
"2010","Denmark","Chain linked volumes (2010), million euro","Gross domestic product at market prices","243,165.4",""
"2010","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0",""
"2010","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross domestic product at market prices","2,580,060.0",""
